     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
7.23570e+03       3.564e+11    4.388e+11  9.567393e-01  0.000000e+00  0.000000e+00
7.28560e+03       3.554e+11    4.375e+11  9.567085e-01  0.000000e+00  0.000000e+00
7.33550e+03       3.543e+11    4.362e+11  9.566783e-01  0.000000e+00  0.000000e+00
7.38540e+03       3.532e+11    4.348e+11  9.566488e-01  0.000000e+00  0.000000e+00
7.43530e+03       3.521e+11    4.335e+11  9.566199e-01  0.000000e+00  0.000000e+00
7.48520e+03       3.510e+11    4.321e+11  9.565916e-01  0.000000e+00  0.000000e+00
7.53510e+03       3.499e+11    4.307e+11  9.565638e-01  0.000000e+00  0.000000e+00
7.58500e+03       3.487e+11    4.293e+11  9.565368e-01  0.000000e+00  0.000000e+00
7.63490e+03       3.476e+11    4.279e+11  9.565102e-01  0.000000e+00  0.000000e+00
7.68480e+03       3.465e+11    4.265e+11  9.564843e-01  0.000000e+00  0.000000e+00
7.73470e+03       3.453e+11    4.251e+11  9.564589e-01  0.000000e+00  0.000000e+00
7.78460e+03       3.441e+11    4.237e+11  9.564340e-01  0.000000e+00  0.000000e+00
7.83450e+03       3.430e+11    4.223e+11  9.564098e-01  0.000000e+00  0.000000e+00
7.88440e+03       3.418e+11    4.208e+11  9.563860e-01  0.000000e+00  0.000000e+00
7.93430e+03       3.406e+11    4.194e+11  9.563628e-01  0.000000e+00  0.000000e+00
7.98420e+03       3.394e+11    4.179e+11  9.563401e-01  0.000000e+00  0.000000e+00
8.03410e+03       3.382e+11    4.164e+11  9.563179e-01  0.000000e+00  0.000000e+00
8.08400e+03       3.370e+11    4.149e+11  9.562963e-01  0.000000e+00  0.000000e+00
8.13390e+03       3.358e+11    4.135e+11  9.562751e-01  0.000000e+00  0.000000e+00
8.18380e+03       3.346e+11    4.120e+11  9.562545e-01  0.000000e+00  0.000000e+00
8.23370e+03       3.334e+11    4.105e+11  9.562343e-01  0.000000e+00  0.000000e+00
8.28360e+03       3.322e+11    4.090e+11  9.562146e-01  0.000000e+00  0.000000e+00
8.33350e+03       3.309e+11    4.074e+11  9.561954e-01  0.000000e+00  0.000000e+00
8.38340e+03       3.297e+11    4.059e+11  9.561766e-01  0.000000e+00  0.000000e+00
8.43330e+03       3.285e+11    4.044e+11  9.561583e-01  0.000000e+00  0.000000e+00
8.48320e+03       3.272e+11    4.029e+11  9.561405e-01  0.000000e+00  0.000000e+00
8.53310e+03       3.260e+11    4.013e+11  9.561233e-01  0.000000e+00  0.000000e+00
8.58300e+03       3.247e+11    3.998e+11  9.561064e-01  0.000000e+00  0.000000e+00
8.63290e+03       3.235e+11    3.983e+11  9.560899e-01  0.000000e+00  0.000000e+00
8.68280e+03       3.222e+11    3.967e+11  9.560738e-01  0.000000e+00  0.000000e+00
8.73270e+03       3.210e+11    3.952e+11  9.560582e-01  0.000000e+00  0.000000e+00
8.78260e+03       3.197e+11    3.936e+11  9.560430e-01  0.000000e+00  0.000000e+00
8.83250e+03       3.184e+11    3.920e+11  9.560281e-01  0.000000e+00  0.000000e+00
